,0,1
4,"(None, False, (1, 2), 0.5, 20)",0.8606561628110568
1,"(None, False, (1, 2), 0.4, 20)",0.8603124001146764
7,"(None, False, (1, 2), 0.7, 20)",0.8601561842951267
5,"(None, False, (1, 2), 0.5, 30)",0.8582499411275547
8,"(None, False, (1, 2), 0.7, 30)",0.8579999430802524
2,"(None, False, (1, 2), 0.4, 30)",0.8578124606585605
3,"(None, False, (1, 2), 0.7, 50)",0.8491249303672087
1,"(None, False, (1, 2), 0.2, 50)",0.8489687057583218
6,"(None, False, (1, 2), 0.7, 10)",0.8374999449933981
2,"(None, False, (1, 2), 0.7, 10)",0.8374999449933981
3,"(None, False, (1, 2), 0.5, 10)",0.8362187086631979
0,"(None, False, (1, 2), 0.4, 10)",0.8357811988964133
0,"(None, False, (1, 2), 0.2, 10)",0.8353437008487448
